T,1,770,43
T,2,579,133
T,3,659,175
T,4,768,276
T,5,531,669
T,6,574,288
T,7,241,494
T,8,478,54
T,9,401,174
T,10,966,950
T,11,298,959
T,12,383,893
T,13,875,79
T,14,650,852
T,15,970,808
T,16,856,921
T,17,651,933
T,18,21,711
T,19,752,887
T,20,876,857
T,21,658,488
T,22,62,906
T,23,962,720
T,24,24,711
T,25,889,464
T,26,755,714
T,27,260,425
T,28,716,218
T,29,348,747
T,30,459,770
T,31,179,986
T,32,954,320
T,33,717,162
T,34,156,694
T,35,881,602
T,36,99,219
T,37,560,148
T,38,697,43
T,39,583,106
T,40,444,835
T,41,155,986
T,42,458,22
T,43,372,703
T,44,608,698
T,45,276,407
T,46,38,632
T,47,356,494
T,48,15,576
T,49,519,727
T,50,898,176
T,51,366,546
T,52,979,401
T,53,992,845
T,54,88,296
T,55,664,481
T,56,171,284
T,57,462,736
T,58,456,980
T,59,357,831
T,60,480,673
T,61,285,287
T,62,974,201
T,63,483,646
T,64,533,956
T,65,699,605
T,66,91,117
T,67,976,85
T,68,413,55
T,69,317,151
T,70,251,13
T,71,958,990
T,72,320,822
T,73,902,309
T,74,959,406
T,75,77,676
T,76,214,270
T,77,751,265
T,78,63,990
T,79,833,426
T,80,702,965
T,81,276,301
T,82,122,348
T,83,119,421
T,84,681,103
T,85,606,870
T,86,26,607
T,87,415,114
T,88,521,90
T,89,305,66
T,90,245,451
T,91,351,263
T,92,801,678
T,93,526,347
T,94,362,196
T,95,599,125
T,96,863,934
T,97,182,635
T,98,783,811
T,99,292,544
T,100,708,631
