T,1,770,43
T,2,579,133
T,3,659,175
T,4,768,276
T,5,531,669
T,6,574,288
T,7,241,494
T,8,478,54
T,9,401,174
T,10,966,950
T,11,298,959
T,12,383,893
T,13,875,79
T,14,650,852
T,15,970,808
T,16,856,921
T,17,651,933
T,18,21,711
T,19,752,887
T,20,876,857
T,21,658,488
T,22,62,906
T,23,962,720
T,24,24,711
T,25,889,464
T,26,755,714
T,27,260,425
T,28,716,218
T,29,348,747
T,30,459,770
T,31,179,986
T,32,954,320
T,33,717,162
T,34,156,694
T,35,881,602
T,36,99,219
T,37,560,148
T,38,697,43
T,39,583,106
T,40,444,835
T,41,155,986
T,42,458,22
T,43,372,703
T,44,608,698
T,45,276,407
T,46,38,632
T,47,356,494
T,48,15,576
T,49,519,727
T,50,898,176
T,51,366,546
T,52,979,401
T,53,992,845
T,54,88,296
T,55,664,481
T,56,171,284
T,57,462,736
T,58,456,980
T,59,357,831
T,60,480,673
T,61,285,287
T,62,974,201
T,63,483,646
T,64,533,956
T,65,699,605
T,66,91,117
T,67,976,85
T,68,413,55
T,69,317,151
T,70,251,13
T,71,958,990
T,72,320,822
T,73,902,309
T,74,959,406
T,75,77,676
T,76,214,270
T,77,751,265
T,78,63,990
T,79,833,426
T,80,702,965
T,81,276,301
T,82,122,348
T,83,119,421
T,84,681,103
T,85,606,870
T,86,26,607
T,87,415,114
T,88,521,90
T,89,305,66
T,90,245,451
T,91,351,263
T,92,801,678
T,93,526,347
T,94,362,196
T,95,599,125
T,96,863,934
T,97,182,635
T,98,783,811
T,99,292,544
T,100,708,631
T,101,984,142
T,102,762,107
T,103,438,930
T,104,6,821
T,105,403,551
T,106,150,474
T,107,22,349
T,108,235,674
T,109,907,399
T,110,492,886
T,111,769,232
T,112,220,863
T,113,49,794
T,114,386,60
T,115,764,434
T,116,593,54
T,117,230,804
T,118,237,975
T,119,386,622
T,120,939,303
T,121,236,164
T,122,804,160
T,123,274,245
T,124,658,407
T,125,868,131
T,126,184,431
T,127,264,568
T,128,793,508
T,129,244,621
T,130,130,5
T,131,525,506
T,132,371,510
T,133,626,995
T,134,840,164
T,135,333,244
T,136,0,98
T,137,821,80
T,138,626,896
T,139,199,897
T,140,756,421
T,141,524,321
T,142,90,192
T,143,308,677
T,144,629,727
T,145,159,162
T,146,711,913
T,147,474,315
T,148,42,518
T,149,55,9
T,150,994,423
T,151,66,737
T,152,217,6
T,153,54,411
T,154,558,389
T,155,616,209
T,156,407,935
T,157,863,308
T,158,825,450
T,159,69,459
T,160,258,68
T,161,738,455
T,162,191,653
T,163,867,506
T,164,833,882
T,165,350,405
T,166,836,864
T,167,347,187
T,168,50,281
T,169,881,635
T,170,558,543
T,171,138,614
T,172,571,373
T,173,712,711
T,174,276,595
T,175,527,62
T,176,404,608
T,177,276,581
T,178,107,192
T,179,2,10
T,180,725,839
T,181,893,363
T,182,140,764
T,183,414,337
T,184,723,100
T,185,699,257
T,186,335,576
T,187,487,906
T,188,442,141
T,189,969,422
T,190,153,560
T,191,616,21
T,192,937,48
T,193,442,951
T,194,839,343
T,195,168,500
T,196,222,470
T,197,461,290
T,198,498,632
T,199,736,357
T,200,808,271
T,201,24,731
T,202,344,396
T,203,64,310
T,204,838,654
T,205,68,827
T,206,784,504
T,207,594,638
T,208,90,51
T,209,576,854
T,210,225,763
T,211,834,86
T,212,370,346
T,213,329,676
T,214,744,511
T,215,19,846
T,216,60,210
T,217,402,631
T,218,20,220
T,219,768,810
T,220,850,617
T,221,710,296
T,222,177,748
T,223,678,628
T,224,909,834
T,225,218,251
T,226,421,199
T,227,90,269
T,228,27,436
T,229,616,201
T,230,629,545
T,231,461,103
T,232,495,145
T,233,565,65
T,234,269,449
T,235,56,722
T,236,735,551
T,237,831,908
T,238,312,958
T,239,921,2
T,240,963,8
T,241,897,818
T,242,19,985
T,243,346,138
T,244,386,259
T,245,882,91
T,246,754,781
T,247,256,638
T,248,725,592
T,249,848,349
T,250,210,789
T,251,269,522
T,252,65,574
T,253,829,439
T,254,700,580
T,255,347,208
T,256,305,669
T,257,168,239
T,258,410,791
T,259,264,823
T,260,745,287
T,261,981,725
T,262,741,237
T,263,348,932
T,264,546,63
T,265,846,922
T,266,159,620
T,267,196,919
T,268,117,425
T,269,38,585
T,270,182,526
T,271,324,515
T,272,679,739
T,273,896,750
T,274,397,617
T,275,962,194
T,276,525,598
T,277,157,492
T,278,660,203
T,279,440,451
T,280,761,38
T,281,328,517
T,282,874,624
T,283,889,182
T,284,525,747
T,285,447,451
T,286,980,109
T,287,200,652
T,288,973,557
T,289,792,936
T,290,62,41
T,291,445,810
T,292,545,780
T,293,390,894
T,294,710,807
T,295,242,911
T,296,274,175
T,297,396,580
T,298,39,652
T,299,734,711
T,300,170,612
T,301,681,280
T,302,999,223
T,303,177,698
T,304,934,720
T,305,203,772
T,306,878,719
T,307,308,122
T,308,536,86
T,309,2,908
T,310,142,821
T,311,982,787
T,312,415,782
T,313,898,939
T,314,7,848
T,315,766,867
T,316,330,302
T,317,218,433
T,318,380,784
T,319,447,216
T,320,124,173
T,321,141,917
T,322,74,126
T,323,669,921
T,324,918,832
T,325,497,588
T,326,438,724
T,327,161,79
T,328,526,528
T,329,86,720
T,330,788,22
T,331,238,48
T,332,72,334
T,333,864,621
T,334,301,408
T,335,567,645
T,336,123,551
T,337,578,259
T,338,251,562
T,339,369,38
T,340,819,57
T,341,668,924
T,342,734,6
T,343,551,321
T,344,794,409
T,345,531,522
T,346,286,271
T,347,438,8
T,348,899,742
T,349,482,387
T,350,29,352
T,351,92,932
T,352,995,767
T,353,975,709
T,354,242,389
T,355,410,296
T,356,340,421
T,357,936,945
T,358,502,734
T,359,458,847
T,360,334,968
T,361,283,829
T,362,794,849
T,363,754,436
T,364,645,603
T,365,959,839
T,366,221,694
T,367,454,426
T,368,991,858
T,369,71,245
T,370,230,534
T,371,648,709
T,372,85,362
T,373,959,82
T,374,474,356
T,375,222,304
T,376,521,756
T,377,279,684
T,378,726,294
T,379,995,784
T,380,621,815
T,381,430,629
T,382,476,768
T,383,90,11
T,384,506,70
T,385,919,203
T,386,110,238
T,387,735,932
T,388,922,497
T,389,474,765
T,390,817,765
T,391,973,412
T,392,576,52
T,393,9,607
T,394,613,796
T,395,958,336
T,396,11,127
T,397,758,184
T,398,139,852
T,399,824,494
T,400,292,204
T,401,172,827
T,402,107,47
T,403,315,963
T,404,11,276
T,405,396,289
T,406,563,606
T,407,637,976
T,408,394,825
T,409,423,760
T,410,338,820
T,411,241,538
T,412,516,417
T,413,251,191
T,414,348,99
T,415,498,248
T,416,910,203
T,417,620,57
T,418,636,63
T,419,462,88
T,420,69,885
T,421,170,916
T,422,286,836
T,423,190,154
T,424,631,951
T,425,97,373
T,426,625,979
T,427,317,572
T,428,252,218
T,429,638,323
T,430,341,722
T,431,848,93
T,432,444,993
T,433,973,575
T,434,416,439
T,435,373,90
T,436,895,401
T,437,365,228
T,438,24,534
T,439,162,964
T,440,37,682
T,441,636,406
T,442,783,156
T,443,845,180
T,444,892,501
T,445,293,227
T,446,4,430
T,447,637,435
T,448,455,578
T,449,901,102
T,450,839,131
T,451,313,690
T,452,136,194
T,453,529,740
T,454,462,960
T,455,394,50
T,456,35,357
T,457,345,473
T,458,689,874
T,459,242,740
T,460,64,696
T,461,708,750
T,462,675,112
T,463,34,659
T,464,189,376
T,465,319,936
T,466,580,886
T,467,805,254
